Session ID,Date,Position,Survival Time (s),Max Level,Total Kills,Entry Price,Exit Price,PnL at Death (%),Avg Difficulty,Max Difficulty,Max Streak,Cards Picked
session_1766097217173_qf37gsslf,2025-12-18T22:33:37.173Z,LONG,75,4,33,85603.99,85607.44,0.00,1.68,2.41,11,3
session_1766097301611_ki0kvbwib,2025-12-18T22:35:01.611Z,SHORT,50,3,25,85542.82,85554.07,-0.01,1.69,2.23,11,2
session_1766105984795_w6cb63dde,2025-12-19T00:59:44.795Z,LONG,256,12,7,85561.20,85394.55,-0.19,2.53,6.45,2,11
session_1766132149645_k67ml88rh,2025-12-19T08:15:49.645Z,LONG,58,3,25,87934.94,87976.05,0.05,1.65,2.11,9,2
session_1766132409264_e8g9bbmut,2025-12-19T08:20:09.264Z,LONG,61,3,26,87918.92,87915.51,-0.00,1.72,2.17,8,2
session_1766132839274_gxqfrg1yv,2025-12-19T08:27:19.274Z,LONG,913,4,2,87908.44,87916.97,0.01,2.15,8.00,1,3
session_1766135038674_0da276ktt,2025-12-19T09:03:58.674Z,LONG,93,5,47,87940.33,87952.01,0.01,1.94,3.65,12,4
session_1766135341580_2rmoz03xx,2025-12-19T09:09:01.580Z,LONG,78,4,34,87940.04,87999.24,0.07,1.72,2.89,11,3
session_1766135426177_07bhiys1b,2025-12-19T09:10:26.177Z,LONG,322,3,15,87949.99,87908.19,-0.05,1.83,4.03,5,2
session_1766135758885_gchzzx9a6,2025-12-19T09:15:58.885Z,LONG,16,1,7,87854.74,87879.21,0.03,1.55,1.72,7,0
session_1766135787805_5tlf717z3,2025-12-19T09:16:27.805Z,LONG,148,4,34,87876.00,87958.01,0.09,1.93,2.62,25,3
session_1766136998118_zazgvfxmr,2025-12-19T09:36:38.118Z,LONG,81,4,32,88000.05,87955.09,-0.05,1.74,2.36,7,3
session_1766137562764_fsavy7nek,2025-12-19T09:46:02.764Z,LONG,106,3,18,88039.67,87999.13,-0.05,1.61,2.14,10,2
session_1766140754880_r5out58a2,2025-12-19T10:39:14.880Z,LONG,15,1,5,88000.82,87985.97,-0.02,1.42,1.78,5,0
session_1766141856458_ssaj6xx62,2025-12-19T10:57:36.458Z,LONG,115,6,9,88288.81,88259.93,-0.03,2.33,4.42,17,5
session_1766141978677_0zmxzge4v,2025-12-19T10:59:38.677Z,LONG,65,4,0,88230.01,88187.05,-0.05,1.68,2.28,10,3
session_1766142046180_2ya12v19b,2025-12-19T11:00:46.180Z,LONG,18,1,0,88170.16,88178.04,0.01,1.49,1.72,7,0
session_1766144436697_vmp02n20z,2025-12-19T11:40:36.697Z,LONG,41,3,206,88190.00,88228.91,0.04,1.58,1.97,175,2
session_1766144720362_i3p9hr3m4,2025-12-19T11:45:20.362Z,LONG,50,2,10,88258.55,88243.99,-0.02,1.59,2.66,6,1
session_1766145160286_a4v9it0vr,2025-12-19T11:52:40.286Z,LONG,58,3,188,88183.42,88227.13,0.05,1.67,2.37,104,2
session_1766146510303_c5ierw3t5,2025-12-19T12:15:10.303Z,LONG,15,1,6,88204.09,88216.23,0.01,1.97,3.06,3,0
session_1766146529722_biehaklku,2025-12-19T12:15:29.722Z,LONG,127,6,77,88216.24,88154.49,-0.07,2.12,3.32,24,5
session_1766146666118_0sprhxa85,2025-12-19T12:17:46.118Z,LONG,28,2,14,88171.82,88059.67,-0.13,2.19,3.71,9,1
session_1766146697612_3e8vcmyo8,2025-12-19T12:18:17.612Z,LONG,90,5,46,88075.99,88012.07,-0.07,1.92,3.01,11,4
session_1766150167706_n0z9rpnk9,2025-12-19T13:16:07.706Z,LONG,21,1,10,87907.95,87943.55,0.04,1.43,1.84,10,0
session_1766150282744_9oklgfync,2025-12-19T13:18:02.744Z,LONG,44,3,17,87989.50,87901.93,-0.10,2.12,3.87,7,2
session_1766150451681_8sfv6hlmy,2025-12-19T13:20:51.681Z,LONG,72,4,38,87946.22,87934.94,-0.01,2.18,4.35,13,3
session_1766150528056_u3j632oga,2025-12-19T13:22:08.056Z,LONG,137,5,52,87878.19,87975.68,0.11,1.73,2.94,11,4
session_1766151032295_np1swfo1a,2025-12-19T13:30:32.295Z,LONG,33,2,12,88090.45,87995.09,-0.11,1.86,2.45,7,1
session_1766151134882_jcs8ocw7f,2025-12-19T13:32:14.882Z,LONG,40,3,17,87829.81,87859.77,0.03,1.97,3.27,8,2
session_1766151179481_57aec6ve1,2025-12-19T13:32:59.481Z,LONG,26,2,10,87843.99,87808.03,-0.04,1.96,3.49,8,1
session_1766151207599_n5v3icqzj,2025-12-19T13:33:27.599Z,LONG,99,5,51,87853.50,87891.98,0.04,1.88,3.70,15,4
session_1766151469153_w8jauiu5t,2025-12-19T13:37:49.153Z,LONG,17,1,7,87977.94,88052.39,0.08,1.49,3.02,6,0
session_1766151488883_semgc4rjb,2025-12-19T13:38:08.883Z,LONG,21,2,9,88038.72,88017.96,-0.02,2.03,3.15,7,1
session_1766151632710_w3s317xra,2025-12-19T13:40:32.710Z,LONG,72,4,38,88100.87,87975.69,-0.14,2.01,3.22,14,3
session_1766152345059_e9dmshgvq,2025-12-19T13:52:25.059Z,SHORT,75,4,37,87965.10,88014.01,-0.06,1.84,2.86,14,3
session_1766152422775_f66or4aou,2025-12-19T13:53:42.775Z,LONG,122,6,81,88017.13,87951.31,-0.07,2.50,6.79,25,5
session_1766152712251_ukg41o412,2025-12-19T13:58:32.251Z,LONG,1333,1,3,87964.80,88057.02,0.10,2.95,4.90,2,0
session_1766154048964_v4a5n55sh,2025-12-19T14:20:48.964Z,LONG,52,3,23,88006.62,87955.99,-0.06,1.78,3.13,6,2
session_1766154105099_6qbowrvu3,2025-12-19T14:21:45.099Z,LONG,50,3,200,87951.02,88014.69,0.07,1.57,2.48,111,2
session_1766154161421_1s1vhd36y,2025-12-19T14:22:41.421Z,LONG,88,5,67,87944.74,87995.79,0.06,2.04,3.94,26,4
session_1766154580495_7o5uwfzgr,2025-12-19T14:29:40.495Z,LONG,12,1,0,87990.01,88023.00,0.04,1.80,2.31,4,0
session_1766154594740_6uolaam0n,2025-12-19T14:29:54.740Z,LONG,53,4,0,87962.00,87930.00,-0.04,1.92,3.59,9,3
session_1766154651300_5ko3zvgj4,2025-12-19T14:30:51.300Z,LONG,9,1,0,87887.28,87887.28,0.00,1.89,2.83,4,0
session_1766154728734_e3fj9ruqu,2025-12-19T14:32:08.734Z,LONG,36,3,0,87966.84,87917.98,-0.06,1.69,3.57,5,2
session_1766154767924_hycglac26,2025-12-19T14:32:47.924Z,LONG,28,2,0,87869.62,87868.55,-0.00,1.76,2.79,7,1
session_1766154798292_68sg31gsz,2025-12-19T14:33:18.292Z,LONG,24,2,0,87825.39,87822.01,-0.00,1.98,3.18,9,1
session_1766154825019_of78duxkv,2025-12-19T14:33:45.019Z,LONG,23,2,0,87825.40,87728.92,-0.11,1.74,2.36,7,1
session_1766154852066_msmfek887,2025-12-19T14:34:12.066Z,LONG,26,2,0,87732.58,87857.78,0.14,1.72,2.63,7,1
session_1766155961119_6x9ybm6pb,2025-12-19T14:52:41.119Z,LONG,39,3,19,87993.37,87899.10,-0.11,2.20,4.47,8,2
session_1766156002038_69t8gfgjx,2025-12-19T14:53:22.038Z,LONG,79,4,38,87863.99,87976.01,0.13,1.77,3.17,7,3
session_1766157384054_0hlyc7poe,2025-12-19T15:16:24.054Z,SHORT,32,2,13,89036.00,89120.47,-0.09,3.87,5.86,10,1
session_1766157418416_hz2240t8g,2025-12-19T15:16:58.416Z,SHORT,34,2,12,89140.03,89289.93,-0.17,2.94,5.54,8,1
session_1766163589488_2oykv9raa,2025-12-19T16:59:49.488Z,LONG,15,1,3,87904.94,88013.99,0.12,1.35,2.08,2,0
session_1766163620945_rh5hr4ecd,2025-12-19T17:00:20.945Z,SHORT,26,2,8,87910.00,87903.89,0.01,2.27,4.71,6,1
session_1766164005776_8hzuizxgi,2025-12-19T17:06:45.776Z,SHORT,32,2,12,87964.21,88002.92,-0.04,1.83,3.17,5,1
session_1766164193177_il6oh0j8o,2025-12-19T17:09:53.177Z,LONG,14,1,7,88203.00,88231.00,0.03,2.27,3.81,7,0
session_1766165647498_gwgsw9cjf,2025-12-19T17:34:07.498Z,LONG,21,2,6,87021.27,86901.96,-0.14,2.88,5.04,4,1
session_1766166572127_or7km9c2r,2025-12-19T17:49:32.127Z,LONG,24,2,9,87279.57,87214.00,-0.08,2.74,4.77,5,1
session_1766166599786_eqceftkbm,2025-12-19T17:49:59.786Z,LONG,198,7,120,87192.99,87176.04,-0.02,2.36,6.70,29,6
session_1766168226498_5crunll1m,2025-12-19T18:17:06.498Z,LONG,49,3,17,87172.00,87065.43,-0.12,1.95,5.19,15,2
session_1766172208866_pwykqsrdg,2025-12-19T19:23:28.866Z,LONG,44,3,11,87632.66,87598.56,-0.04,2.66,4.28,13,2
session_1766172465883_079b11fl6,2025-12-19T19:27:45.883Z,LONG,31,2,23,87682.69,87595.98,-0.10,2.66,4.94,7,1
session_1766172499445_4jd7yc5sw,2025-12-19T19:28:19.445Z,LONG,224,4,45,87666.47,87626.00,-0.05,3.51,5.06,23,3
session_1766176106163_fhpqqdhlf,2025-12-19T20:28:26.163Z,LONG,51,3,16,88011.15,87975.11,-0.04,2.51,5.29,7,2
